image_path,class,cn_name,cuisine,split
food_dataset/split/train/baiqieji/train_000061.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000133.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000031.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000089.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000156.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000005.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000188.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000009.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000221.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000048.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000078.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000115.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000106.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000217.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000050.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000205.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000181.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000199.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000183.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000110.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000247.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000095.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000121.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000191.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000215.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000027.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000015.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000233.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000001.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000150.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000244.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000065.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000082.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000153.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000022.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000122.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000037.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000006.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000157.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000002.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000224.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000120.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000218.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000026.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000166.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000246.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000034.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000124.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000003.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000042.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000222.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000231.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000032.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000113.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000085.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000006.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000073.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000207.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000103.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000012.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000131.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000170.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000004.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000201.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000007.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000161.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000104.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000196.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000198.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000134.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000236.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000023.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000033.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000066.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000243.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000029.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000051.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000227.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000030.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000123.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000027.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000172.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000204.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/val_000014.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000033.jpg,baiqieji,白切鸡,粤菜,train
food_dataset/split/train/baiqieji/train_000021.jpg,baiqieji,白切鸡,粤菜,train
