image_path,true_class,pred_top1,correct_top1,correct_top5
food_dataset/split/test/baiqieji/train_000147.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000092.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000220.jpg,baiqieji,koushuiji,False,False
food_dataset/split/test/baiqieji/train_000226.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000158.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000160.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000212.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000075.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000141.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000020.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000096.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000031.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000137.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000117.jpg,baiqieji,koushuiji,False,True
food_dataset/split/test/baiqieji/train_000186.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000011.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000206.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000067.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000154.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000088.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/val_000019.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000091.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000024.jpg,baiqieji,koushuiji,False,False
food_dataset/split/test/baiqieji/train_000097.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000023.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000026.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000086.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000195.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000245.jpg,koushuiji,duojiaoyutou,False,True
food_dataset/split/test/baiqieji/train_000055.jpg,baiqieji,koushuiji,False,False
food_dataset/split/test/baiqieji/train_000079.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000174.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/val_000025.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000081.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000003.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000142.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000229.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000112.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000214.jpg,baiqieji,koushuiji,False,False
food_dataset/split/test/baiqieji/train_000101.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/val_000010.jpg,baiqieji,koushuiji,False,True
food_dataset/split/test/baiqieji/train_000119.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000111.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000047.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000015.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000016.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000216.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000044.jpg,baiqieji,baiqieji,True,True
food_dataset/split/test/baiqieji/train_000052.jpg,baiqieji,baiqieji,True,True
