image_path,true_label,pred_label,confidence
food_dataset/split/test/baiqieji/train_000147.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000092.jpg,白切鸡,白切鸡,0.0372
food_dataset/split/test/baiqieji/train_000220.jpg,白切鸡,口水鸡,0.0367
food_dataset/split/test/baiqieji/train_000226.jpg,白切鸡,白切鸡,0.0373
food_dataset/split/test/baiqieji/train_000158.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000160.jpg,白切鸡,白切鸡,0.0373
food_dataset/split/test/baiqieji/train_000212.jpg,白切鸡,口水鸡,0.0362
food_dataset/split/test/baiqieji/train_000075.jpg,白切鸡,白切鸡,0.0369
food_dataset/split/test/baiqieji/train_000141.jpg,白切鸡,白切鸡,0.0371
food_dataset/split/test/baiqieji/train_000020.jpg,白切鸡,白切鸡,0.037
food_dataset/split/test/baiqieji/train_000096.jpg,白切鸡,白切鸡,0.0362
food_dataset/split/test/baiqieji/train_000031.jpg,白切鸡,白切鸡,0.0371
food_dataset/split/test/baiqieji/train_000137.jpg,白切鸡,白切鸡,0.0373
food_dataset/split/test/baiqieji/train_000117.jpg,白切鸡,白切鸡,0.0365
food_dataset/split/test/baiqieji/train_000186.jpg,白切鸡,白切鸡,0.037
food_dataset/split/test/baiqieji/train_000011.jpg,白切鸡,白切鸡,0.0374
food_dataset/split/test/baiqieji/train_000206.jpg,白切鸡,白切鸡,0.0367
food_dataset/split/test/baiqieji/train_000067.jpg,白切鸡,白切鸡,0.0374
food_dataset/split/test/baiqieji/train_000154.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000088.jpg,白切鸡,白切鸡,0.0373
food_dataset/split/test/baiqieji/val_000019.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000091.jpg,白切鸡,白切鸡,0.0365
food_dataset/split/test/baiqieji/train_000024.jpg,白切鸡,口水鸡,0.0367
food_dataset/split/test/baiqieji/train_000097.jpg,白切鸡,白切鸡,0.0371
food_dataset/split/test/baiqieji/train_000023.jpg,白切鸡,白切鸡,0.037
food_dataset/split/test/baiqieji/train_000026.jpg,白切鸡,白切鸡,0.0375
food_dataset/split/test/baiqieji/train_000086.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000195.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000245.jpg,白切鸡,口水鸡,0.0365
food_dataset/split/test/baiqieji/train_000055.jpg,白切鸡,口水鸡,0.0365
food_dataset/split/test/baiqieji/train_000079.jpg,白切鸡,白切鸡,0.0372
food_dataset/split/test/baiqieji/val_000013.jpg,白切鸡,烧鸭,0.0366
food_dataset/split/test/baiqieji/train_000174.jpg,白切鸡,白切鸡,0.0371
food_dataset/split/test/baiqieji/val_000025.jpg,白切鸡,白切鸡,0.037
food_dataset/split/test/baiqieji/train_000081.jpg,白切鸡,白切鸡,0.0368
food_dataset/split/test/baiqieji/train_000003.jpg,白切鸡,白切鸡,0.0371
food_dataset/split/test/baiqieji/train_000142.jpg,白切鸡,白切鸡,0.0369
food_dataset/split/test/baiqieji/train_000229.jpg,白切鸡,白切鸡,0.0375
food_dataset/split/test/baiqieji/train_000112.jpg,白切鸡,白切鸡,0.0372
food_dataset/split/test/baiqieji/train_000214.jpg,白切鸡,口水鸡,0.0369
food_dataset/split/test/baiqieji/train_000101.jpg,白切鸡,白切鸡,0.0369
food_dataset/split/test/baiqieji/train_000013.jpg,白切鸡,烧鸭,0.0366
food_dataset/split/test/baiqieji/val_000010.jpg,白切鸡,白切鸡,0.0358
food_dataset/split/test/baiqieji/train_000119.jpg,白切鸡,白切鸡,0.0362
food_dataset/split/test/baiqieji/train_000111.jpg,白切鸡,白切鸡,0.0367
food_dataset/split/test/baiqieji/train_000047.jpg,白切鸡,白切鸡,0.0363
food_dataset/split/test/baiqieji/train_000015.jpg,白切鸡,白切鸡,0.0369
food_dataset/split/test/baiqieji/train_000016.jpg,白切鸡,白切鸡,0.037
food_dataset/split/test/baiqieji/train_000216.jpg,白切鸡,白切鸡,0.0372
food_dataset/split/test/baiqieji/train_000044.jpg,白切鸡,白切鸡,0.0367
food_dataset/split/test/baiqieji/train_000052.jpg,白切鸡,白切鸡,0.0377
food_dataset/split/test/baiqieji/train_000071.jpg,白切鸡,白切鸡,0.037
